panel_id	composite_id	layout_row	layout_col	assay	label	matrix_id	matrix_n_rows	width_bp	x_start_bp	x_end_bp	x_label	n_rows	center_bp	show_cluster_bar	view	selection	sort_rule	matrix_sha256	panel_sha256
daf_chr5_donor1_omit_most_protaminated	dafseq_chr5_heatmaps	0	2	DAF-seq	CHR5 · donor 1 · most-protaminated cluster omitted	daf_chr5	3468	4654	0	4654	bp from amplicon window start	265		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	2fa24288d05d7ecb12ce4c739e8e8160f972705032e0107b8a854a00addb47a0	fc13831d9d4a1cec4d07e474afe8860c7dadb7d2a548a16ce80d35a846af32cd
daf_chr5_donor2_omit_most_protaminated	dafseq_chr5_heatmaps	0	3	DAF-seq	CHR5 · donor 2 · most-protaminated cluster omitted	daf_chr5	3468	4654	0	4654	bp from amplicon window start	644		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	2fa24288d05d7ecb12ce4c739e8e8160f972705032e0107b8a854a00addb47a0	a5e198cd7e5d88e0dfa6f38bd2055d05612567e850a4a43eef451e79cc4fb329
daf_chr22_donor1_all_clusters	dafseq_chr22_heatmaps	0	0	DAF-seq	CHR22 · donor 1 · all clusters	daf_chr22	2741	4061	0	4061	bp from amplicon window start	1548		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	e2089f963bea560b54ac27d9f7af907a83484e974d2b35a8df6e63da711ba885	415cfe6085fee6f2bb14894d334a138a87f487a647276df6a21427241b88d7d6
daf_chr22_donor2_all_clusters	dafseq_chr22_heatmaps	0	1	DAF-seq	CHR22 · donor 2 · all clusters	daf_chr22	2741	4061	0	4061	bp from amplicon window start	1188		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	e2089f963bea560b54ac27d9f7af907a83484e974d2b35a8df6e63da711ba885	2d0c324c4d168df869bcb5a0a1d0dc1244dbb4110314098bf65784be1ca30083
daf_chr22_donor1_omit_most_protaminated	dafseq_chr22_heatmaps	0	2	DAF-seq	CHR22 · donor 1 · most-protaminated cluster omitted	daf_chr22	2741	4061	0	4061	bp from amplicon window start	123		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	e2089f963bea560b54ac27d9f7af907a83484e974d2b35a8df6e63da711ba885	136a57e92a0b53e9cdf48ee0af6b99cfca750d8080b3a8d2d99b8ff3b5219ffa
daf_chr22_donor2_omit_most_protaminated	dafseq_chr22_heatmaps	0	3	DAF-seq	CHR22 · donor 2 · most-protaminated cluster omitted	daf_chr22	2741	4061	0	4061	bp from amplicon window start	288		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	e2089f963bea560b54ac27d9f7af907a83484e974d2b35a8df6e63da711ba885	14efde5dc5c7857f3025357ff46ea6d6478bb4f29bb6ad682d040b582f351c19
daf_uba1_donor1_all_clusters	dafseq_uba1_heatmaps	0	0	DAF-seq	UBA1 · donor 1 · all clusters	daf_uba1	4733	4300	-246	4054	bp relative to TSS	2181		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	13c90a325e264a4a62cd4d14049fbc3e5e1336f1d20b517a32bfaf9f4b49cac9	1049d6c206334c611264f7453e5f963d9914ff274f61b70891359bbd90160353
daf_uba1_donor2_all_clusters	dafseq_uba1_heatmaps	0	1	DAF-seq	UBA1 · donor 2 · all clusters	daf_uba1	4733	4300	-246	4054	bp relative to TSS	2543		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	13c90a325e264a4a62cd4d14049fbc3e5e1336f1d20b517a32bfaf9f4b49cac9	bbbb72361c533f4e0b0f9613eeaaff56a76967badd03e8cb0bcc5a0e43afa657
daf_uba1_donor1_omit_most_protaminated	dafseq_uba1_heatmaps	0	2	DAF-seq	UBA1 · donor 1 · most-protaminated cluster omitted	daf_uba1	4733	4300	-246	4054	bp relative to TSS	333		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	13c90a325e264a4a62cd4d14049fbc3e5e1336f1d20b517a32bfaf9f4b49cac9	54eb377c81bd95a1cb87e5016e67148699ffc7939e6a59d39fe785184edd4c59
daf_uba1_donor2_omit_most_protaminated	dafseq_uba1_heatmaps	0	3	DAF-seq	UBA1 · donor 2 · most-protaminated cluster omitted	daf_uba1	4733	4300	-246	4054	bp relative to TSS	180		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	13c90a325e264a4a62cd4d14049fbc3e5e1336f1d20b517a32bfaf9f4b49cac9	4d2d373a32bb78a9835ae33afa3c153f4c3206c9a50cf3aab6b3eb76cc7dc2c5
daf_mei4_donor1_all_clusters	dafseq_mei4_heatmaps	0	0	DAF-seq	MEI4 · donor 1 · all clusters	daf_mei4	7101	4500	0	4500	bp from amplicon window start	3168		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	82ed0fb34124d1f6ba878a932d92187c297a756656926f63d87a6e62e6cf7679	cc653a86bb7eb74756ed8c167d2cf58302557aaea2cc93fa98e0ef4c814aa90e
daf_mei4_donor2_all_clusters	dafseq_mei4_heatmaps	0	1	DAF-seq	MEI4 · donor 2 · all clusters	daf_mei4	7101	4500	0	4500	bp from amplicon window start	3933		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	82ed0fb34124d1f6ba878a932d92187c297a756656926f63d87a6e62e6cf7679	2a452159d1de64ec28ee9dfb58f63707ad1b571945c12d14ce69962106f0284a
daf_mei4_donor1_omit_most_protaminated	dafseq_mei4_heatmaps	0	2	DAF-seq	MEI4 · donor 1 · most-protaminated cluster omitted	daf_mei4	7101	4500	0	4500	bp from amplicon window start	1279		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	82ed0fb34124d1f6ba878a932d92187c297a756656926f63d87a6e62e6cf7679	dee9a0bfca2408fbe19d677102525b6978280cb5db8191f686a58eb0093658e2
daf_mei4_donor2_omit_most_protaminated	dafseq_mei4_heatmaps	0	3	DAF-seq	MEI4 · donor 2 · most-protaminated cluster omitted	daf_mei4	7101	4500	0	4500	bp from amplicon window start	1151		1	omit_most_protaminated	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	82ed0fb34124d1f6ba878a932d92187c297a756656926f63d87a6e62e6cf7679	51d92a070abd87abc9bc0083f1f34617c734ed265a6a1bcece0158db9621157a
